Information Type,Time,Bus ID,Monitor Tag/ Datarate,Unique Message ID
BUS MESSAGES,2.0,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,"[<components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000020652616198>, <components.security.certification.certificates.EcuCertificate object at 0x00000206523A3278>, <components.security.encryption.encryption_tools.AsymetricKey object at 0x0000020652369160>]"
BUS MESSAGES,2.000168775,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,"[<components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000020652616198>, <components.security.certification.certificates.EcuCertificate object at 0x00000206523A3278>, <components.security.encryption.encryption_tools.AsymetricKey object at 0x0000020652369160>]"
BUS MESSAGES,2.0004703249999998,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x000002065262AF28>
BUS MESSAGES,2.0005990999999996,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x000002065262AF28>
BUS MESSAGES,2.0006000999999998,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x00000206525B54A8>
BUS MESSAGES,2.0007288749999996,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x00000206525B54A8>
BUS MESSAGES,2.0010304249999993,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x0000020652616C18>
BUS MESSAGES,2.001159199999999,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x0000020652616C18>
BUS MESSAGES,2.0011601999999993,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x00000206525B5978>
BUS MESSAGES,2.001288974999999,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x00000206525B5978>
BUS MESSAGES,2.0012899749999993,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x00000206525B5B70>
BUS MESSAGES,2.001418749999999,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x00000206525B5B70>
BUS MESSAGES,2.000170775,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,"[<components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000020652616198>, <components.security.certification.certificates.EcuCertificate object at 0x00000206523A3278>, <components.security.encryption.encryption_tools.AsymetricKey object at 0x0000020652369160>]"
BUS MESSAGES,2.00033955,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,"[<components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000020652616198>, <components.security.certification.certificates.EcuCertificate object at 0x00000206523A3278>, <components.security.encryption.encryption_tools.AsymetricKey object at 0x0000020652369160>]"
BUS MESSAGES,2.00033955,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x000002065262AF28>
BUS MESSAGES,2.000468325,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x000002065262AF28>
BUS MESSAGES,2.000469325,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x00000206525B54A8>
BUS MESSAGES,2.0005981,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x00000206525B54A8>
BUS MESSAGES,2.0008996499999996,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x0000020652616C18>
BUS MESSAGES,2.0010284249999994,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x0000020652616C18>
BUS MESSAGES,2.0010294249999996,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x00000206525B5978>
BUS MESSAGES,2.0011581999999994,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x00000206525B5978>
BUS MESSAGES,2.0011591999999996,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x00000206525B5B70>
BUS MESSAGES,2.0012879749999994,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,<components.security.encryption.encryption_tools.SymmetricKey object at 0x00000206525B5B70>
BUS MESSAGES,2.00034155,CAN_2,MonitorTags.CB_PROCESSING_MESSAGE,"[<components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000020652616198>, <components.security.certification.certificates.EcuCertificate object at 0x00000206523A3278>, <components.security.encryption.encryption_tools.AsymetricKey object at 0x0000020652369160>]"
BUS MESSAGES,2.000510325,CAN_2,MonitorTags.CB_DONE_PROCESSING_MESSAGE,"[<components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000020652616198>, <components.security.certification.certificates.EcuCertificate object at 0x00000206523A3278>, <components.security.encryption.encryption_tools.AsymetricKey object at 0x0000020652369160>]"
